ticker,business_id
CASY,f803adb5fc4a8a2073efe6b927768056
EXR,b7125fc1d0793129c383e8c4b0dadc83
CFG,2d16ed07b1d9714c0882b24afb3d16bb
AEE,de66dbc30377a1f7908db45298324aa3
LYV,0765933456f074d2c75bbbad63af95e6
ZM,5b2bc77fb13164f331427a0a75e9b90e
DTE,7f394a0fbc52688bd7a1a2d03e8c3dd0
HPQ,8cc94afa95782ee6f115551c48d02eff
WSM,92fde850d824c2ba9b563cb6fa4078c3
ATO,86317a3269e7927536b010c2615aeab5
ES,a536fb5480db8bdbb84daffe345c675b
HSY,af950a05051ddf3d1f777ed24eed14a3
EIX,ea7ca94a25a57a5bcccdffc58ae93a9a
DG,a8d2795765fb6a8659fd48d8ca7eb888
RF,690d83983a63aa1818423fd6edd3bfdb
SYF,4d6ba40bb51b34bbf05f136343315737
PPL,b219f59c2dd596abfadbcecfc2277659
CNP,4e881799bcfaeb2369668860ea09068d
AWK,1d7c2aae840867027b7edd17b6aaa0e9
LH,dbbcfa7ee3e6c7e2875268eadd76c449
QSR,acadb671687b41ffd0ecad77abc2e427
CINF,098d86c982354a96556bd861823ebfbd
FE,9f0fd032f17effe47439a28c1ac69e77
CPRT,be5acb71f959598767dd12c4732e537d
DGX,6fb52e71b837628ac16539c1ff911667
TPR,e6d7fb4131b411d0f08a95203b047839
PPG,62459f4e225e2f4f196c9d42f4ad7111
DRI,352832c93157d2d37ced5549ead10491
AVB,9cb4d40fce0492278209290ee3e4ae31
FICO,384babc3e7faa44cf1ca671b74499c3b
PHM,196bbdb6d3630b83b2698350d734619e
PFG,bdbca288fee7f92f2bfa9f7012727740
EQR,7f597181af5ee3fd57fa499fd7d81280
NRG,d0f3cac4d12fa2668b1ffbc4e3254253
RBLX,b5f7ece7cb6db7fffb91753fa3482f4c
DLTR,ae98e3391c4268302e0e8f97c3c005bb
CHD,247d87b085efdb305fa6583ccf1a9f54
TROW,bc5a0265f0adf19c8f285370c58d613a
SOFI,a83f64f50dc8dc834ab2e2080a800c81
THC,5ad742cd15633b26fdce1b80f7b39f7c
FWONK,bf44d84e8b1fd739a8c6c743e28f36f0
ULTA,35d63e6c0f8047f62e48ee97f0bb5b65
BURL,dc2ff5f1be7effb525b145bed225e336
EFX,af1b5754061ebbd4412adfb34c8d3534
AFRM,34e9a0a77a95dac9dc8eff754aea3fd2
KHC,42e05c19eed14b3ae1b811b6ce8054f0
CMS,9eed867b73ab1eab60583c9d4a789b1b
EL,75806e8a1c04cad241934a374c1359c0
KEY,1e3b21cb226c39b6aa4634f820b372f3
RDDT,91508b72557f425572336e865ec5bbf1
GIS,0172d289da48c48de8c5ebf3de9f7ee1
BRO,aecad42329922dfc97eee948606e1f8e
LUV,f0f800c92d191d736c4411f3b3f8ef4a
GH,965571d346185ae14f0185364861685e
CPNG,4a987cb28226e8aac3b605d844f2c71d
NI,7e89a8359796a1df17bd75d09abbefed
ROKU,c6d16d558ca9f98ad8e8fce9b6ded577
EVRG,21d77783781e3c384cd40ce04736cc94
TSCO,aaf9290b7570c56dd784f192425658d4
VTRS,8821e87c009f304bc6177ea0e9404b13
L,1d98e6ad3ed4f30afacadcf23fe145fa
STZ,0d2cf688695b43e2b42d77b481f71222
GPC,a22c0238589078fb10b606ab62015744
EWBC,b751ea087892ebeca363034301f45c69
VIK,fae034d20a4c0184e93c2c5594a934c4
ESS,b62fc92a2561538525c89be63f36bf7b
